Date,Depth,Temp
10/01/2013,22.4,11.904
10/02/2013,22.4,11.904
10/03/2013,18.8,12.0605
10/04/2013,15.2,12.217
10/05/2013,11.9,12.599
10/06/2013,23.5,11.974
10/07/2013,23.5,11.944
10/08/2013,21,12.008
10/09/2013,19.9,11.991
10/10/2013,17.2,11.957
10/11/2013,17.1,12.008
10/12/2013,15.3,12.074
10/13/2013,12.5,12.017
10/14/2013,12.1,11.839
10/15/2013,14.1,11.843
10/16/2013,16.2,12.14
10/17/2013,21.4,11.864
10/18/2013,17.1,11.939
10/19/2013,16.9,11.936
10/20/2013,17.1,12.026
10/21/2013,17.1,11.993
10/22/2013,17,11.928
10/23/2013,17,11.892
10/24/2013,17,11.895
10/25/2013,18.1,11.687
10/26/2013,18.6,11.494
10/27/2013,17.85,11.514
10/28/2013,17.1,11.534
10/29/2013,19.8,11.348
10/30/2013,37.35,11.379
10/31/2013,54.9,11.41
11/01/2013,86.9,11.306
11/02/2013,65.9,11.366
11/03/2013,72,11.396
11/04/2013,80.4,11.3065
11/05/2013,88.8,11.217
11/06/2013,89.15,11.152
11/07/2013,89.5,11.087
11/08/2013,89.7,11.067
11/09/2013,86.4,11.0905
11/10/2013,83.1,11.114
11/11/2013,81.3,11.052
11/12/2013,92.9,10.707
11/13/2013,94.1,10.688
11/14/2013,90.6,10.7165
11/15/2013,87.1,10.745
11/16/2013,75.4,10.688
11/17/2013,83.2,10.616
11/18/2013,92.85,10.555
11/19/2013,102.5,10.494
11/20/2013,95.7,10.475
11/21/2013,89.8,10.325
11/22/2013,97.7,10.189
11/23/2013,96.2,10.14
11/24/2013,94.7,10.091
11/25/2013,92.9,10.016
11/26/2013,92.3,9.95
11/27/2013,94.6,9.915
11/28/2013,101.2,9.947
11/29/2013,107.8,9.979
11/30/2013,104.9,9.917
12/01/2013,118.7,9.954
12/02/2013,127,9.944
12/03/2013,127.6,9.865
12/04/2013,128.2,9.786
12/05/2013,138.6,9.574
12/06/2013,153.3,9.597
12/07/2013,164.9,9.618
12/08/2013,165.9,9.598
12/09/2013,166.9,9.578
12/10/2013,164.4,9.544
12/11/2013,161.5,9.458
12/12/2013,159.4,9.326
12/13/2013,158.3,9.2335
12/14/2013,157.2,9.141
12/15/2013,155.7,9.086
12/16/2013,155.1,9.06
12/17/2013,153.6,8.964
12/18/2013,152.75,8.926
12/19/2013,151.9,8.888
12/20/2013,152.7,8.698
12/21/2013,152.1,8.733
12/22/2013,154,8.461
12/23/2013,160.5,8.3765
12/24/2013,167,8.292
12/25/2013,159,8.217
12/26/2013,155.5,8.201
12/27/2013,158.7,8.199
12/28/2013,161.7,8.1945
12/29/2013,164.7,8.19
12/30/2013,163.6,8.04
12/31/2013,164.1,7.915
01/01/2014,170.8,7.755
01/02/2014,169.75,7.7115
01/03/2014,168.7,7.668
01/04/2014,169.5,7.417
01/05/2014,168.5,7.267
01/06/2014,169.8,7.199
01/07/2014,171.45,7.1475
01/08/2014,173.1,7.096
01/09/2014,179.6,7.012
01/10/2014,172.2,6.937
01/11/2014,167.9,6.865
01/12/2014,170.05,6.8065
01/13/2014,172.2,6.748
01/14/2014,180.2,6.746
01/15/2014,182.9,6.483
01/16/2014,182.9,6.227
01/17/2014,182.65,6.152
01/18/2014,182.4,6.077
01/19/2014,182.9,5.912
01/20/2014,182.7,5.996
01/21/2014,183.3,6.043
01/22/2014,183.05,5.9985
01/23/2014,182.8,5.954
01/24/2014,182.4,5.673
01/25/2014,182.4,5.597
01/26/2014,181.9,5.556
01/27/2014,182.25,5.574
01/28/2014,182.6,5.592
01/29/2014,183.8,5.506
01/30/2014,184,5.645
01/31/2014,183.9,5.72
02/01/2014,183.7,5.6375
02/02/2014,183.5,5.555
02/03/2014,184.4,5.496
02/04/2014,182.4,5.581
02/05/2014,183,5.656
02/06/2014,182.15,5.78
02/07/2014,181.3,5.78
02/08/2014,181.4,5.979
02/09/2014,181.9,5.852
02/10/2014,183.5,5.792
02/11/2014,183.8,5.764
02/12/2014,184.1,5.736
02/13/2014,182.7,5.683
02/14/2014,182.9,5.612
02/15/2014,182.6,5.475
02/16/2014,182.5,5.3955
02/17/2014,182.4,5.316
02/18/2014,182.8,5.59
02/19/2014,182,5.799
02/20/2014,181.4,5.966
02/21/2014,181,5.8665
02/22/2014,180.6,5.767
02/23/2014,180.8,5.661
02/24/2014,180.7,5.479
02/25/2014,180.5,5.46
02/26/2014,180.9,5.712
02/27/2014,181.3,5.964
02/28/2014,180.7,6.035
03/01/2014,181,5.877
03/02/2014,180.4,5.721
03/03/2014,180.25,5.6455
03/04/2014,180.1,5.57
03/05/2014,180.7,5.687
03/06/2014,180.2,5.711
03/07/2014,181,6.081
03/08/2014,180.75,6.045
03/09/2014,180.5,6.009
03/10/2014,181.1,6.18
03/11/2014,181.6,6.165
03/12/2014,181.3,6.083
03/13/2014,181.75,6.0865
03/14/2014,182.2,6.09
03/15/2014,182.4,6.016
03/16/2014,183.1,6.008
03/17/2014,182.9,5.859
03/18/2014,183,5.855
03/19/2014,183.1,5.851
03/20/2014,183.4,5.786
03/21/2014,182.9,5.683
03/22/2014,183.4,5.639
03/23/2014,183.15,5.681
03/24/2014,182.9,5.723
03/25/2014,183.6,6.098
03/26/2014,183.5,6.382
03/27/2014,183.4,6.959
03/28/2014,183.7,7.0705
03/29/2014,184,7.182
03/30/2014,183.1,6.696
03/31/2014,183.8,6.517
04/01/2014,183.5,6.444
04/02/2014,183.65,6.2945
04/03/2014,183.8,6.145
04/04/2014,183.9,5.937
04/05/2014,183.4,5.825
04/06/2014,183.9,5.816
04/07/2014,183.65,5.7865
04/08/2014,183.4,5.757
04/09/2014,183.9,5.888
04/10/2014,183.5,5.806
04/11/2014,183.1,5.689
04/12/2014,183.4,5.6575
04/13/2014,183.7,5.626
04/14/2014,183.3,5.539
04/15/2014,183.9,5.46
04/16/2014,183.2,5.363
04/17/2014,183.4,5.3015
04/18/2014,183.6,5.24
04/19/2014,183.4,5.148
04/20/2014,183.2,5.107
04/21/2014,183.6,5.155
04/22/2014,183.35,5.162
04/23/2014,183.1,5.169
04/24/2014,183.6,5.302
04/25/2014,183.5,5.407
04/26/2014,183.4,5.446
04/27/2014,183.65,5.5395
04/28/2014,183.9,5.633
04/29/2014,183.4,5.791
04/30/2014,184.4,6.207
05/01/2014,183.7,6.1
05/02/2014,183.9,6.0415
05/03/2014,184.1,5.983
05/04/2014,184.2,5.9
05/05/2014,184,5.945
05/06/2014,184.15,5.937
05/07/2014,184.3,5.929
05/08/2014,183.6,5.927
05/09/2014,184.1,6.008
05/10/2014,185.3,5.954
05/11/2014,185.6,5.9355
05/12/2014,185.9,5.917
05/13/2014,186.1,5.96
05/14/2014,185.6,5.95
05/15/2014,186.2,5.927
05/16/2014,185.85,5.9005
05/17/2014,185.5,5.874
05/18/2014,186,5.879
05/19/2014,185.7,5.862
05/20/2014,185.6,5.8
05/21/2014,185.6,5.8635
05/22/2014,185.6,5.927
05/23/2014,184.4,5.913
05/24/2014,185,5.965
05/25/2014,184.6,6.052
05/26/2014,184.95,6.178
05/27/2014,185.3,6.304
05/28/2014,185.8,6.515
05/29/2014,184.6,6.504
05/30/2014,184.5,6.504
05/31/2014,183.75,6.487
06/01/2014,183,6.47
06/02/2014,183.4,6.489
06/03/2014,181.8,6.524
06/04/2014,177,6.574
06/05/2014,168.95,6.6125
06/06/2014,160.9,6.651
06/07/2014,140.2,6.638
06/08/2014,137.7,6.663
06/09/2014,139.3,6.648
06/10/2014,139.7,6.655
06/11/2014,140.1,6.662
06/12/2014,139.3,6.646
06/13/2014,137.6,6.634
06/14/2014,137.5,6.68
06/15/2014,136.95,6.73
06/16/2014,136.4,6.78
06/17/2014,136.2,6.828
06/18/2014,134.8,6.89
06/19/2014,130.4,6.959
06/20/2014,127.8,6.991
06/21/2014,125.2,7.023
06/22/2014,127.8,7.058
06/23/2014,118.7,7.056
06/24/2014,109.9,7.162
06/25/2014,106.75,7.2575
06/26/2014,103.6,7.353
06/27/2014,98.7,7.653
06/28/2014,91.6,7.83
06/29/2014,82.4,8.032
06/30/2014,75.8,8.424
07/01/2014,69.2,8.816
07/02/2014,66.55,9.006
07/03/2014,63.9,9.196
07/04/2014,69.3,9.572
07/05/2014,88.5,9.716
07/06/2014,57.8,9.882
07/07/2014,53.6,9.9555
07/08/2014,49.4,10.029
07/09/2014,59.1,10.202
07/10/2014,63.1,10.217
07/11/2014,62,10.353
07/12/2014,64.4,10.403
07/13/2014,66.8,10.453
07/14/2014,69.2,10.425
07/15/2014,67.3,10.6
07/16/2014,63.8,10.684
07/17/2014,57.9,10.8025
07/18/2014,52,10.921
07/19/2014,59.4,11.138
07/20/2014,54.8,11.23
07/21/2014,43,11.345
07/22/2014,45.4,11.3365
07/23/2014,47.8,11.328
07/24/2014,47.3,11.391
07/25/2014,46,11.453
07/26/2014,55.5,11.334
07/27/2014,59.65,11.3365
07/28/2014,63.8,11.342
07/29/2014,69.4,11.356
07/30/2014,65.6,11.472
07/31/2014,65,11.505
